item_id,sentence,option_a,option_b,gold_answer
pr_ru_000008,"Джон подозревает, что в чае нет сахара, но он есть в кофе, потому что _ горький.", чай, кофе,A
pr_ru_000039,"Человек использовал веревку вместо лозы, чтобы выжить, потому что _ была слабой.", лоза, веревка,A
pr_ru_000090,"Ольге было легче читать книгу, чем записку, потому что _ была написана от руки.", записка, книга,A
pr_ru_000115,"Она хотела сэкономить больше денег, поэтому она сократила покупку ежедневного журнала, но не кофе, потому что _ был несущественным.", кофе, журнал,B
pr_ru_000117,"Продолжительность встречи была намного больше, чем у предыдущей презентации, потому что _ была более подробной.", презентация, встреча,B
pr_ru_000127,"Раньше я работал в банке рядом с нашим домом, а не в другом магазине, потому что _ был недалеко от дома.", магазин, банк,B
pr_ru_000144,"В конце концов, он выбросил старые поздравительные открытки, которые он хранил в ящике годами, в мусор, когда он закончил, _ был полон.", ящик, мусор,B
pr_ru_000147,"Пейсли записала свою новую песню на телефон, а не на компьютер, потому что _ работал медленнее.", компьютер, телефон,A
pr_ru_000209,"Когда я иду в магазин за продуктами для волос, я покупаю больше шампуня, чем мусса, потому что _ делает мои волосы чистыми.", шампунь, мусс,A
pr_ru_000225,"Самолет не справлялся с ветром так же хорошо, как вертолет, так как _ был слаб к погодным условиям.", вертолет, самолет,B
pr_ru_000232,"Письмо, которое Джеймс отправил в школу, было доставлено быстрее, чем письмо, отправленное в больницу, потому что _ находится рядом.", школа, больница,A
pr_ru_000235,"Самолет должен был прибыть вслед за вертолетом, поэтому _ улетал немедленно, чтобы рассчитать время прибытия.", вертолет, самолет,A
pr_ru_000263,"Настольный компьютер был намного лучше по сравнению с ноутбуком, но _ был дешевле.", ноутбук, компьютер,A
pr_ru_000273,"Джордж предпочел, чтобы они оба использовали нож вместо пистолета на дуэли, потому что _ мог частично поранить их.", нож, пистолет,A
pr_ru_000274,"Марси протерла стекло газетой, а не тканью, потому что _ была грязной.", газета, ткань,B
pr_ru_000277,"Я заплатил больше налогов за свой бизнес, чем за свой дом, потому что _ находится в коммерческой собственности.", бизнес, дом,A
pr_ru_000287,"Джон дал мне телефон, который был лучше моего планшета, потому что _ был более старой версии.", телефон, планшет,B
pr_ru_000304,"Джон вылил весь мешок с золотом в сундук с сокровищами, пока _ не наполнился.", сундук, мешок,A
pr_ru_000309,"Новый матрас не поместился на каркас кровати, потому что _ был слишком коротким.", каркас, матрас,A
pr_ru_000318,"Женщина попыталась засунуть новый бюстгальтер в ящик, но _ оказался слишком большим.", бюстгальтер, ящик,A
pr_ru_000325,"Специальный камень был перемещен с тарелки на чашу, потому что _ была прочной.", тарелка, чаша,B
pr_ru_000343,"Большинство людей в нашем городе использовали улицу рядом с нашим домом, а не дорогу через город, потому что _ ограничивала доступ.", дорога, улица,A
pr_ru_000349,"Мужчина хотел хранить горшок внутри шкафа, но _ был слишком большим.", шкаф, горшок,B
pr_ru_000352,"Стратегия генерала заключалась в том, чтобы взять город вместо взятия форта, поскольку _ был активом в битве.", город, форт,A
pr_ru_000356,"Подарить рубашку в подарок - лучший знак любви, чем подарить шляпу, поскольку _ - более ламерский символ привязанности.", шляпа, рубашка,A
pr_ru_000367,"Регулирующие органы решили помочь окружающей среде, введя налоги на поезд, но не на самолет, потому что _ был неэффективен.", поезд, самолет,A
pr_ru_000374,"Трава казалась кошкам приятнее, чем солома, хотя _ была сухой.", солома, трава,A
pr_ru_000391,"Боб пошел к торговцу автомобилями, чтобы обменять свой грузовик на мотоцикл, потому что _ был старым.", грузовик, мотоцикл,A
pr_ru_000392,"Боб пошел к торговцу автомобилями, чтобы обменять свой грузовик на мотоцикл, потому что _ был новым.", мотоцикл, грузовик,A
pr_ru_000402,"Путешественник попытался положить свой багаж в шкаф, но он не поместился, потому что _ был слишком узким.", шкаф, багаж,A
pr_ru_000440,"Он повесил инструменты на стойку, а не на стену, потому что _ была устойчивой.", стойка, стена,A
pr_ru_000504,"Женщина попыталась уложить фен в чемодан, но _ оказался слишком большим.", фен, чемодан,A
pr_ru_000524,"Джен пыталась не отвлекаться, убираясь со стола и убирая телефон, но _ был слишком громким, чтобы игнорировать его.", стол, телефон,B
pr_ru_000528,"Ему нравилось наносить гель на волосы больше, чем спрей, потому что _ заставлял его чувствовать себя занудным.", спрей, гель,A
pr_ru_000529,"Утром он мочится из мочевого пузыря в унитаз, пока _ не опустеет.", унитаз, пузырь,B
pr_ru_000546,"Людям больше нравится бетон на главной улице, чем камень в переулке, потому что _ крошится.", бетон, камень,B
pr_ru_000555,"Она хотела пойти на рыбалку, но ее удочка была сломана, но ей подарили приманку, так что _ была старой.", приманка, удочка,B
pr_ru_000558,"Женщина была рада, что смогла вернуть тушь и обменять ее на подводку для глаз, ведь _ была отличного качества.", тушь, подводка,B
pr_ru_000597,"Мужчина решил арендовать дом вместо трейлера, потому что _ был более просторным.", дом, трейлер,A
pr_ru_000600,"Чтобы волосы выглядели естественно, парикмахер рекомендовал гель поверх мусса, потому что _ был менее заметным.", мусс, гель,B
pr_ru_000632,"Боб предпочел фильм ужину на свидании, потому что _ не требовал разговоров.", ужин, фильм,B
pr_ru_000647,"Консультанту пришлось отправлять документы своим клиентам по почте с принтера, а не с компьютера, потому что _ не был готов к Интернету.", компьютер, принтер,A
pr_ru_000661,"Ванная была готова к отделке, а кухне пришлось ждать, так как _ была закончена с опозданием.", ванная, кухня,B
pr_ru_000664,"Джеймс пробовал принимать аспирин и ибупрофен от головных болей, но помогал только аспирин, потому что _ сильный.", аспирин, ибупрофен,A
pr_ru_000669,"Сьюзан сделала глиняный горшок, но не хранила его в своем доме, потому что _ был слишком маленьким.", дом, глиняный,A
pr_ru_000711,"Художники использовали 1 фунт глины для вазы и 2 фунта глины для чаши, так как _ была больше.", чаша, ваза,A
pr_ru_000719,"Джон думал, что его рука была сломана, но на самом деле это была его нога, потому что _ была прямой.", нога, рука,B
pr_ru_000720,"Во время концерта виолончель звучала лучше, чем скрипка, потому что _ была настроена.", виолончель, скрипка,A
pr_ru_000741,"Химия была менее популярной дисциплиной в школе, чем биология, поскольку _ была более прибыльной как область.", химия, биология,B
pr_ru_000747,"Я использовал компьютер вместо калькулятора для математической работы, потому что _ работал быстрее.", калькулятор, компьютер,B
pr_ru_000760,"Рабочий перемещал картон из грузовика в склад, пока _ не был заполнен.", склад, грузовик,A
pr_ru_000764,"Эми использовала свой ноутбук для подключения к Интернету вместо телефона, потому что _ был намного медленнее.", телефон, ноутбук,A
pr_ru_000778,"Лев посадил детское деревце в своем дворе подальше от забора и возле куста, потому что _ мог служить полезным укрытием.", куст, забор,A
pr_ru_000789,"Рабочий-подросток не смог поместить дорожный конус в свой багажник, потому что _ был слишком маленьким.", конус, багажник,B
pr_ru_000796,"Она попыталась положить шарик в колпачок ручки, но не смогла, потому что _ был слишком мал.", колпачок, шарик,A
pr_ru_000833,"Анджела хранила дневник своих снов под матрасом и положила фальшивый в комод, потому что _ казался безопаснее.", комод, матрас,B
pr_ru_000855,"Горничной пришлось мыть кухонный стол уксусом вместо химиката, потому что _ был дорогим.", химикат, уксус,A
pr_ru_000856,"Мужчина использовал проволоку вместо веревки, чтобы повесить тяжелое зеркало, так как _ могла выдержать больший вес.", веревка, проволока,B
pr_ru_000899,"Когда солнце село, поле приобрело золотистый оттенок, так как в тот вечер _ поглощало свет.", поле, солнце,A
pr_ru_000901,"Мотор на лодке был меньше, чем на яхте, поэтому _ была слабее.", лодка, яхта,A
pr_ru_000914,"Его травма намного хуже, чем ее царапина, потому что _ возникла в результате ужасного несчастного случая.", царапина, травма,B
pr_ru_000918,"Малыш не поместился в куртке, но прекрасно себя чувствовал в рубашке, так как _ была неподходящего размера.", куртка, рубашка,A
pr_ru_000919,"Малыш не влезал в куртку, но прекрасно себя чувствовал в рубашке, так как _ подходящего размера.", куртка, рубашка,B
pr_ru_000923,"Нам было намного веселее на вечеринке, а не на конференции, поскольку _ была напряженной.", конференция, вечеринка,A
pr_ru_000943,"К озеру было легче попасть через туннель, чем через мост, потому что _ был просторным.", мост, туннель,B
pr_ru_001008,"Кэти чувствовала более сильную связь со своей собакой, чем с кошкой, потому что ее _ была очень нежной.", кошка, собака,B
pr_ru_001023,"Юрий подарил своей девушке розу вместо глицинии, потому что _ была более ароматной.", роза, глициния,A
pr_ru_001026,"Моя мама купила мне чай, который был хуже кофе, потому что _ был хорошего качества.", чай, кофе,B
pr_ru_001048,"Пара ушла из фильма и вместо этого пошла в ресторан, так как _ способствовал их романтическим намерениям.", фильм, ресторан,B
pr_ru_001066,"Алекс предпочел чистый черный кофе латте, потому что _ действует на него сильнее.", латте, кофе,B
pr_ru_001077,"Эмили предпочла Европейский союз ближневосточному региону, потому что _ был более мирным.", союз, регион,A
pr_ru_001100,"Получение ипотеки требует хорошего кредита, а покупка газеты - нет, потому что _ - это очень серьезный бизнес.", газета, ипотека,B
pr_ru_001124,"В первом раунде мне всегда было труднее, чем в последнем периоде, потому что _ был очень напряженным.", период, раунд,B
pr_ru_001126,"Было легче научить студентов настраивать сервер, чем маршрутизатор, потому что _ был простым.", сервер, маршрутизатор,A
pr_ru_001143,"Они хотели переехать в другой дом, но изо всех сил пытались найти покупателя на этом рынке, потому что _ был очень плохим.", рынок, дом,A
