item_id,sentence,option_a,option_b
11,"URebecca walanda u-Amy edamini lemoto ukuze asebenze nsuku zonke, ngakho ke _ wanikela ngemali yegesi.",uRebecca,u-Amy
17,UCarrie kwakudingeka aqaphe ngempilo yakhe yamathambo uNatalie akhathazeke ngakho njengoba _ ekhathazekile.,Carrie,Natalie
18,UEric kwakulula ukuhlekisa kunoJustin ngoba _ wayenamancoko.,u-Eric,uJustin
23,"Ngesikhathi bedlala igalofu, u Dennis wawela odakeni, kodwa uChristopher wagcina eqinile ngoba _ wayefake izicathulo ezinezipikili.",uDennis,uChristopher
45,"UEric wayefundisa uNeil zonke izindlela ezifanele, ngoba _ wayezisebenzisa ukuze abe sesimweni esihle.",Eric,Neil
46,"Lapho esefikile ePoland, uDennis walujabulela kakhulu uhambo kunoJason ngoba _ wayeluqonda ngokujulile ulimi lwesiPolish.",Dennis,Jason
58,UCarrie wabhekana nefeni ebhekise ku Angela ngoba _ wayefudumala kakhulu ekhishini.,Carrie,Angela
77,"Lapho uthenga umuzi, uPatricia engenayo imali eningi angayichitha njengoTanya, ngakho _ uthenga indlu enekamelo elilodwa.",uPatricia,uTanya
78,"UKyle wayekhululeke kakhudlwana ukukhuluma phambi kwamaqembu amakhulu kuno Nick, ngoba _ wayethathe izifundo zokukhuluma esidlangalaleni ekolishi.",uKyle,uNick
79,"UJoseph kwakudingeka abe nezinzipho ezilungiswe kahle emsebenzini, kodwa hhayi uKevin, ngoba _ wayesebenza epulazini.",uJoseph,uKevin
99,"Uhlelo olwasetshenziswa uJeffrey lwalumangalisa uma luqhathaniswa nolukaRandy, ngoba _ uhlelo lwakhe lwaluphansi.",uJeffrey,uRandy
138,uHunter walungisa imibhalo namathebula edatha ocwaningo lukaMatthew lwesayensi ngoba _ ungumsizi wakhe.,Hunter ,Matthew 
139,Ngesikhathi esolwandle uCynthia wayethanda ukugqoka ibikini kodwa uLaura wayengathandi ukuthambisa ibikini ngoba _ wayenesisu esiyisicaba.,Cynthia ,Laura 
140,UErin unengane kanti uPatricia unezingane ezisacathula ngoba _ waba ngumama kamuva.,Erin ,Patricia 
141,"Ibhange lamvumela uMichael ukuthi avule i akhawunti yesheke, kodwa hhayi uMatthew, ngoba _ wayeqashiwe.",Michael ,Matthew 
182,USamantha kwadingeka athole umshwalense wemoto kanti uJessica wayengawudingi ngoba _ wayesanda kuthola imoto entsha.,USamantha,uJessica
183,"UVictoria wanquma ukuthatha iYorkie, kodwa uElena wayengafuni ngisho nokucabanga, ngoba _ wayethanda izinja ezincane.",UVictoria,uJessica
254,"uLeslie wayenezinkinga eziningi uKyle ayekhathele ukubhekana nazo, ngakho _ wazizwa elahliwe lapho ekugcineni bephuma.",uLeslie,uKyle
286,"uJoel wayenezinto nempahla eziningi ezengeziwe kuyilapho uNeil engenazo, ngakho _ kwadingeka aqashe ishede lokugcina. ",uJoel,uNeil
289,"UPatricia unenkinga yokuqeqesha ihhashi lakhe futhi ufuna usizo lukaTanya, ngoba _ ufuna ihhashi lakhe liziphathe kahle.",uPatricia,uTanya
324,Ukufunda uhlobo olusha lwekarati kwakunzima kuLogan kodwa hhayi uWilliam ngoba u_ wayengeyena umsubathi.,Logan,William
325,"UElena wayezithanda izibankwa ukwedlula uRachel, ngakho u_ washaqeka lapho ethola isigcilikisha esifuywayo ngosuku lwakhe lokuzalwa.",Elena,Rachel
386,ULogan wabhaka ikhekhe likaSteven ngoba _ wayekhungathekile ngokuphahlazeka kwemakethe yamasheya.,Logan,Steven
400,"USamantha wayenokwakhiwa okuningi kwezigonogono ezindlebeni zabo kunoMonica, ngakho-ke _ akazange acabange ukudala into yokugeza amadlebe eyenziwe ekhaya",Samantha,Monica
433,Inja encane enhle iyona uCraig ayinika uDonald ngemva kokuba u_ ethole ukuthi umzimba wakhe awunankinga nezinja.,uCraig,uDonald
437,UJennifer wafaneleka ukuthola izinzuzo zomhlalaphansi ngenkathi u-Amy engazange ngoba _ wayemdala engaphezu kuka-65.,Jennifer,u-Amy
440,UDerrick kodwa hhayi uJustin kwadingeka afunde kanzima ukuhlolwa ngoba _ wayebheka umsebenzi wezifundo njengodidayo.,Derrick,Justine
487,UNeil wacela ukusiza uLogan ukuthi akhethe izifundo ezifanele zasekolishi ngoba _ wayengumfundi.,Neil,Logan
503,U-Aaron wathola ukushisa kwelanga okubi kakhulu kunoChristopher ngoba _ wahlala ngaphandle elangeni isikhathi eside.,u-Aaron,uChristopher
510,UFelicia wabeka iphepha lodonga ekhaya labo kodwa hhayi uChristine ngoba _ wayesanda kuthenga indlu yabo.,uFelicia,uChristine
540,UJustin kwakulula ukwenza umkhonyovu kunoWilliam ngoba _ wayenolwazi oluningi ngamanga.,Justin,William
555,UKenneth wayethanda ulwandle ukwedlula uDerrick ngoba _ wayecasulwe ukudlala ngemikhumbi yamathoyizi.,Kenneth,Derrick
556,UAmy wayefuna ukuba unjiniyela kodwa uCynthia akazange njengoba _ edala kakhulu.,Amy,Cynthia
569,"Iphunga uElena alikhiphayo lammangaza uFelicia, ngakho-ke _ wayeseyogeza ngalolo suku ekuseni.",Elena,Felicia
598,"UPatricia ubheje elinye iqembu njengo Katrina futhi wahlulwa, ngakho-ke u-_ wayethukuthele ngokukhetha kwabo.",uPatricia,uKatrina
603,UJennifer wacela uElena ukuba eze endaweni yokugcina igazi azonikela ngegazi ngoba _ wayenikela ngegazi kaningi.,Jennifer,Elena
614,URebecca wayenezinambuzane eziningi endlini uma kuqhathaniswa no-Emily ngoba _ wayehlala ezweni.,Rebecca,Emily
650,Amakhowe ayeyisidlo sakusihlwa sikaFelicia kodwa hhayi esikaNatalie ngoba u_ wayeyizonda imifino.,Felicia,Natalie
651,Amakhowe ayeyisidlo sakusihlwa sikaFelicia kodwa hhayi esikaNatalie ngoba u_ wayengumuntu ongadli imifino.,Felicia,Natalie
652,UFelicia wabuza uVictoria ukuthi bangayiphuza yini i-milkshake yabo yama-strawberry ngoba u_ ubengenayo.,Felicia,Victoria
660,UChristopher waboleka uJustin ibhantshi elisha eliluhlaza okwesibhakabhaka ngoba u_ wayehlela ukuligqoka.,Christopher,Justin
665,Abantu bangachaza uCarrie njengomuntu onamanga kakhulu kunoCynthia ngoba u_ uthanda izinto ezibonakalayo kakhulu,Carrie,Cynthia
682,"UKyle wayevunyelwe ukuba nezilwane ezifuywayo ngokungafani noJoel, ngoba udadewabo ka_ wayengezwani nazo.",Kyle,Joel
722,"Noma uJoel kwatholakala ukuthi unesifuba somoya esibi kakhulu kanti uJeffrey akanayo lenkinga, _ wayengumgijimi ongcono.",uJoel,uJeffrey
21,"UIan akazange alibone imila emlenzeni kaBrett, ngoba _ wayethola ukuhlolwa kwamehlo kuphela.",u-lan,uBrett
42,Inkampani yomshwalense isole uLeslie esikhundleni sika Logan ngengozi kwazise _ ubenelambu eliluhlaza.,Leslie,Logan
57,UCarrie wabhekana nefeni kude no Angela ngoba _ wayefudumala kakhulu ekhishini.,Carrie,Angela
67,"Ubusika benza izandla zikaJason zome, kodwa hhayi ezikaLeslie, njengoba _ wayekhohlwa njalo ukuzithambisa ebusuku.",Jason,Leslie
85,UJustin wayebhala isigaba ohlelweni lwakhe nsuku zonke ngokungafani noMathewu ngoba _ wayengahlelekile.,uJustin,uMatthew
109,"UJason wayenempandla, kodwa uHunter wayenezinwele ezigcwele, ngakho _ wayengenasidingo sokuthenga ijeli yezinwele.",uJason,uHunter
112,"UChristopher udinga iseluleko sika Ian sokuthi angakha kanjani isimo esihle sasekilasini, ngoba u _ unguthisha omusha.",Christopher,lan
166,"uSamantha akakwazanga ukubona ezinye izindlela, kodwa uEmily wayengakwazi, ngoba _ wayengenawo umqondo ovulekile.",uSamantha,uEmily
168,"u-Aaron waphuza amanzi amaningi ngaphambi kokuba ahambe, kodwa uChristopher wakhohlwa ukuphuza amanzi, ngakho _ wagcina engasenawo amanzi emzimbeni.",u-Aaron,uChristopher
174,uSarah wayengudokotela ohlinzayo ongcono kakhulu kunoMaria ngakho _ wayehlale thola amacala alula.,uSarah,uMaria
184,"UMaria wakwazi ukugcina isisindo sakhe siphansi isikhathi eside, ngokungafani noFelicia, ngoba _ wayedla ukudla okunempilo.",UMaria,uFelicia
198,uBrett walahla yonke iSoda nokudla okungenamsoco ukuze anciphise ukuncika kukaLeslie ekudleni okungenampilo ngoba _ uyayikhathalela impilo yakhe.,uBrett,uLeslie
234,uAmy waya egunjini lokulinda esibhedlela ukuze athulise uSamantha ngoba _ wayethule.,uAmy,uSamantha
237,uTanya wayifunda ngokucophelela inkontileka ngaphambi kokuba ayisayine kodwa uPatricia akazange ayifunde. _ akazange akhishwe umthengisi onethunzi.,uTanya,uPatricia
255,ULogan wayencamela ukugibela eqhweni kuyilapho uKyle efuna ukwenza i-biathlon ngakho _ wenyuka igquma.,uLogan,uKyle
256,uCynthia kwadingeka achame ngemva kwekhofi elilodwa elikhulu kodwa uBetty akazange achame ngoba _ wayenesinye esincane kakhulu.,uCynthia,uBetty
257,UNick wayenuka kabi kakhulu kuno-Kenneth ngemva komdlalo we-baseball nakuba u-_ wayegqoke isiqedaphunga.,uNick,uKenneth
261,uMaria walingisa konke uChristine ayekwenza emsebenzini ngoba _ wayefana nomlandeli wakhe.,uMaria,uChristine
307,Indoda eyayinomkhuhlane yeza yakhuluma noCarrie hhayi uLindsey ngoba _ wayeyisiguli.,uCarrie,uLindsey
308,Ukubhala kwafika kalula kuCarrie kodwa kwakunzima kuNatalie ngoba _ wayethathe ubunjiniyela ekolishi.,uCarrie,uNatalie
317,"UKatrina wafuna uJessica ukuba asuke endaweni yabo, ngoba u_ wayengekho esimweni sokuvakasha.",Katrina,Jessica
320,"UFelicia wayefuna ukutotoswa uEmily, ngakho u_ waya esitolo sobucwebe wathenga indandatho ebizayo.",Felicia,Emily
329,"UMary ucabanga ukuthi uSarah unesikhumba esihle, nakuba u_ enebala elingcono phakathi kwabo bobabili.",Mary,Sarah
356,"Ingane kaLogan ihlale ixakile, kodwa ekaKenneth ayixakeki _ iyaphusha.",Logan,Kenneth
374,Udokotela wamnika oxhumana naye uWilliam kodwa hhayi u Adamu ngoba _ unombono omkhulu.,William,Adam
381,UBenjamin wayefuna ukudlala ichibi noMathewu ngoba _ wayengakhiphi muntu esikhathini esithile.,Benjamin,Matthew
385,I-movie entsha kakhulu yenza umqondo omningi kuDennis kodwa akekho kuKevin njengoba _ njalo funda amahlaya we-manga lapho esemncane.,Dennis,Kevin
395,"Isitshalo seqanda ukuthi u-Ian wapheka isidlo sakusihlwa noBrett sinzima kakhulu, kodwa _ sisebenza sengathi kulungile.",Lan,Brett
410,"UKyle wafonela osebenza ngogesi ukuba eze endlini, kodwa uNick wayikhansela i aphoyintimenti ngoba _ wenze iphutha.",Kyle,Nick
423,"UElena wayephila kahle ngemva komdlalo, kodwa uJennifer wayequlekile, ngoba _ waphuthelwa inkundla eyaphonswa kuye.",Elena,Jennifer
424,"Naphezu kwemizamo yakhe emihle kakhulu, uCraig akakwazanga ukufinyelelwa nguDonald ngoba _ wayelenga phezulu kakhulu ngenhla.",Craig,Donald
426,Ukugqoka ama-pajamas kusihlwa kwafanela uMary kodwa hhayi uKatrina ngoba u_ wayelala ebusuku.,Mary,Katrina
435,UFelicia wathenga amanye amadayimane ayigugu ku-Erin ngoba _ wayelimaza ngempela imali ethile.,Felicia,Erin
446,"U-Elena wafaka ukhaphethi omusha wekhaya likaSamantha, futhi _ wayekhathele kakhulu kuwo wonke umsebenzi onzima.",u-Elena,uSamantha
448,"UKatrina wayengenayo isithupha esiluhlaza sezitshalo ezikhulayo ngokungafani noLindsey, ngakho-ke _ waqhoqhobala lapho isitshalo sabo sifa.",uKatrina,uLindsey
452,"Esikhumulweni sezindiza, uCarrie uthola imoto yokuqasha, kanti u-Angela akakwenzi, ngoba _ uzonda ukuhamba.",uCarrie,u-Angela
469,URandy akazange athande ubuchwepheshe ngokungafani noDennis ngakho _ wahlala enolwazi ngokufunda amaphephandaba.,URandy,uDennis
504,UFelicia wacela uTanya ukuba abasize ubisi lwenkomo yabo ngoba _ wayebacele ukuthi bangakwenzi bodwa.,uFelicia,uTanya
522,Phakathi nezinyanga zasebusika u-Eric wacela uJoel ukuba aqoqe izinkuni zomlilo kusukela _ wayengumqashi.,u-Eric,uJoel
528,Kwakulula kuJeffrey kodwa hhayi uJoel ukuthola izinwele ngoba _ wanquma ukuthi izinwele zabo zinde kakhulu.,uJeffrey,uJoel
553,UErin wayenakeke kakhulu ngebanga labo esivivinyweni kunoLindsey ngoba _ wayefeyila ikilasi.,Erin,Lindsey
586,Ukuthenga amasondo engxubevange kwamfanela uBrett kodwa hhayi uAdam ngoba _ wayenemoto ayehamba ngayo.,Brett,Adam
600,U-Kayla wayenobuqili kuno-Rebecca futhi okumangazayo _ wawina umncintiswano we-wreath kakhisimusi ehamba phambili.,kayla,Rebecca
630,"U Ian wenza amaphutha amaningi kuno Nick ngenkathi ependa umdwebo odongeni, nakuba _ enganakile kancane.",lan,Nick
633,U-Donald washiya isishisi sesitofu sivuliwe ngenkathi u-Logan engena ngokuthula futhi _ waquleka ngenxa yokuhogela intuthu.,Donald,Logan
640,UMary wadlula endlini kaSamantha ngesikhathi sasekuseni ngakho _ wanikezwa i-waffle nejusi yewolintshi.,uMary,uSamantha
642,Ukugijima ijimu kumfanele kangcono uEric kunoCraig ngakho u_ ukwazile ukusungula kancane kancane uhlelo olusha lwe-yoga.,Eric,Craig
655,"UWilliam wahleka ngoba uNelson wayecabanga ukuthi udokotela wezilwane ungumuntu ongayidli inyama, futhi lokhu kwenza u_ azizwe ephakeme.",William,Nelson
661,UChristopher waboleka uJustin ibhantshi elisha eliluhlaza okwesibhakabhaka nakuba u_ wayehlela ukuligqoka.,Christopher,Justin
671,UDonald washiya isitofu sivutha ngesikhathi Logan engena ememeza futhi wathola ukuthi u_ equlekile ngenxa yokuhogela intuthu.,Donald,Logan
697,"UWilliam akanaso isiqiniseko sokuthi uNeil kufanele azame ukwenza i-ginger ale yasekhaya, kodwa u_ uyavuma ukuzama ukusiza.",William,Neil
698,Indoda yenkolo yahamba yakhuluma noNick hhayi uCraig ngoba u_ wayengakholelwa kuNkulunkulu futhi edinga uNkulunkulu.,Nick,Craig
703,UCynthia uyawathanda amakati kodwa uFelicia akawathandi ngoba _ ekezwani nazo zonke izilwane kungakhathaliseki ukuthi yini.,uCynthia,uFelicia
741,"UKayla akakwazanga ukuvula ibhodlela lewayini ngaphandle kukaVictoria, kodwa _ akakwazanga ukuthola into lokulivula.",ukayla,uVictoria
