sample_id,sentence_id,entities
1,1,"[{""text"": ""Turkish"", ""label"": ""MISC""}]"
1,2,"[{""text"": ""Merlene Ottey"", ""label"": ""PER""}, {""text"": ""Jamaica"", ""label"": ""LOC""}]"
1,3,"[{""text"": ""MOSCOW"", ""label"": ""LOC""}]"
1,4,[]
1,5,[]
1,6,[]
1,7,"[{""text"": ""Poland"", ""label"": ""LOC""}, {""text"": ""Dariusz Rosati"", ""label"": ""PER""}, {""text"": ""Yugoslavia"", ""label"": ""LOC""}, {""text"": ""PAP"", ""label"": ""ORG""}]"
1,8,"[{""text"": ""Atlanta Games"", ""label"": ""MISC""}, {""text"": ""Edwards"", ""label"": ""PER""}, {""text"": ""Sarajevo"", ""label"": ""LOC""}, {""text"": ""Bosnia"", ""label"": ""LOC""}, {""text"": ""Balkans"", ""label"": ""LOC""}, {""text"": ""Milan"", ""label"": ""LOC""}]"
1,9,"[{""text"": ""Wang"", ""label"": ""PER""}, {""text"": ""China"", ""label"": ""LOC""}]"
1,10,"[{""text"": ""Frank Busemann"", ""label"": ""PER""}, {""text"": ""Germany"", ""label"": ""LOC""}]"
1,11,"[{""text"": ""U.S."", ""label"": ""LOC""}, {""text"": ""French"", ""label"": ""MISC""}, {""text"": ""British"", ""label"": ""MISC""}]"
1,12,[]
1,13,"[{""text"": ""Buducnost ( V )"", ""label"": ""ORG""}, {""text"": ""OFK Beograd"", ""label"": ""ORG""}]"
1,14,[]
1,15,"[{""text"": ""BOSTON"", ""label"": ""ORG""}]"
1,16,"[{""text"": ""BIRMINGHAM"", ""label"": ""ORG""}, {""text"": ""England"", ""label"": ""LOC""}]"
1,17,"[{""text"": ""South Korean"", ""label"": ""MISC""}]"
1,18,"[{""text"": ""HONG KONG OPEN"", ""label"": ""MISC""}]"
1,19,"[{""text"": ""Jamaica"", ""label"": ""LOC""}, {""text"": ""Michael Green"", ""label"": ""PER""}, {""text"": ""Bailey"", ""label"": ""PER""}]"
1,20,"[{""text"": ""Tavildara"", ""label"": ""LOC""}]"
