item_id,premise,hypothesis
ps_en_000024,"Is it true that if Evelyn lands in New York, her best friend will greet her at the airport?",Evelyn has a best friend.
ps_en_000108,"Is it true that if Paul travels to London, his best friend will meet him at the train station?",Paul has a best friend.
ps_en_000215,"Sam believes that if Alexander's team wins the championship, their fans will celebrate in the streets.",Alexander has fans.
ps_en_000254,"It's not the case that if Caleb agrees to attend the conference, his colleague will drive him to the venue.",Caleb has a colleague.
ps_en_000416,"Is it true that if Nathan's flight arrives on time, his best friend will be waiting for him at the airport?",Nathan has a best friend.
ps_en_000509,"If Jacob arrives on time, his boss will give him a promotion.",Jacob has a boss.
ps_en_000519,"Sam believes that if Barbara finishes her work on time, her colleague will give her a ride home.",Barbara has a colleague.
ps_en_000605,"If Harper's flight arrives on time, his brother will be waiting for him at the airport.",Harper has a brother.
ps_en_000666,"It's not the case that if Noah completes his work on time, his colleague will cover his shift at the hospital.",Noah has a colleague.
ps_en_000685,"If Lisa agrees to attend the conference, her colleague will accompany her for the presentation.",Lisa has a colleague.
ps_en_000740,"Is it true that if Nancy arrives early, his brother will meet him at the train station?",Nancy has a brother.
ps_en_000790,"It's not the case that if Jessica completes her work early, her colleague will cover her shift.",Jessica has a colleague.
ps_en_000972,"Is it true that if Matt is a scuba diver, he'll bring his wetsuit?",Matt has a wetsuit.
ps_en_000983,"Sam believes that if Theodore is a ski teacher, he'll bring his skis.",Theodore has skis.
ps_en_001013,"If Kenneth is a factory worker, he'll wear his factory uniform.",Kenneth has a factory uniform.
ps_en_001035,"Sam believes that if Gary is a musician, he'll play his guitar.",Gary has a guitar.
ps_en_001042,"It's not the case that if Roger is a roofer, he'll secure roofing shingles with his roofing nailer.",Roger has a roofing nailer.
ps_en_001188,"Is it true that if Aliya is a nurse, she'll wear her scrub to work?",Aliya has scrubs.
ps_en_001229,"If Abigail finishes her presentation early, she'll never clean a bathtub again.",Abigail has cleaned a bathtub before.
ps_en_001388,"Is it true that if Liam travels to Paris, he'll never issue a statement against the politician again?",Liam has issued a statement against the politician before.
ps_en_001407,"Sam believes that if Mary takes the train to the city, she'll never lend a book to Dorothy again.",Mary has lent a book to Dorothy before.
ps_en_001487,"Sam believes that if Mia's flight arrives on time, she'll never run with a team member at the university again.",Mia has run with a team member at the university before.
ps_en_001588,"Is it true that if David arrives early, he'll never anticipate a result from the team again?",David has anticipated a result from the team before.
ps_en_001621,"If Abigail passes the exam, she'll never confide in a friend of Sania again.",Abigail has confided in a friend of Sania before.
ps_en_001646,"It's not the case that if Ryan flight is delayed, he'll never delegate a task to the workers again.",Ryan has delegated a task to the workers before.
