item_id,sentence,option_a,option_b
pr_de_000183,"Da die Nachricht vertraulich war, entschied sich Jason dafür, einen Anruf zu tätigen, anstatt einen Text zu senden, da er dachte, _ wäre eine schlechte Wahl.",der Anruf,der Text
pr_de_000202,"Wenn ich Blut spende, schaue ich nicht auf die Nadel, bis ich meinen Keks bekomme, und es ist immer toll zu sehen, dass _ ziemlich klein ist.",der Keks,die Nadel
pr_de_000408,"Während sie sich an ihrem freien Tag gelangweilt hatte, beschloss Alexandria, Zeit damit zu verbringen, das Buch zu lesen und den Film nicht anzusehen, weil _ langweilig war.",das Buch,der Film
pr_de_000418,"Ihr Freund bereute es, ihr eine Jacke gekauft zu haben und bekam stattdessen einen neuen Hut, da er wusste, dass sie dachte, _ passe perfekt zu ihrer Garderobe.",der Hut,die Jacke
pr_de_000502,"Angesichts der Größe des Bauches, wenn eine Frau schwanger ist, kann es für sie schwierig sein, ein Auto zu fahren, da _ eng wird.",der Bauch,das Auto
pr_de_000951,"Der Mann konnte nicht hören, was das Telefon sagte, und er riet sich, die Seite des Lastwagens zu verlassen, weil _ laut ist.",der Lastwagen,das Telefon
pr_de_000952,"Der Mann konnte nicht hören, was das Telefon sagte, und er riet sich, die Seite des Lastwagens zu verlassen, weil _ niedrig ist.",der Lastwagen,das Telefon
pr_de_001041,"Der Brief, den James an die Schule schickte, wurde schneller zugestellt als der, der ins Krankenhaus geschickt wurde, weil _ in der Nähe ist.",die Schule,das Krankenhaus
pr_de_001042,"Der Brief, den James an die Schule schickte, wurde schneller zugestellt als der, der ins Krankenhaus geschickt wurde, weil _ weit entfernt ist.",die Schule,das Krankenhaus
pr_de_001201,"Brunhilda entschied sich dafür, die Brosche anstelle der Halskette zu tragen, um die reiche Zahl in der Studie zu treffen und zu beeindrucken, da sie der Meinung war, dass _ billig aussah.",die Halskette,die Brosche
pr_de_001202,"Brunhilda entschied sich dafür, die Brosche anstelle der Halskette zu tragen, um die reiche Zahl in der Studie zu treffen und zu beeindrucken, da sie der Meinung war, dass _ teuer aussah.",die Halskette,die Brosche
pr_de_001643,"Besorgt darüber, dass das Gericht pünktlich sein würde, beschloss die Frau, anstelle des Zuges ein Taxi zu nehmen, da _ früher dort ankommen würde.",das Taxi,der Zug
pr_de_001644,"Besorgt darüber, dass das Gericht pünktlich sein würde, beschloss die Frau, anstelle des Zuges ein Taxi zu nehmen, da _ später dort ankommen würde.",der Zug,das Taxi
pr_de_002003,"Um ihre Produktivität zu steigern, begann sie, eine Aufgabenliste in ein tägliches Notizbuch zu schreiben, und warf ihren Kalender weg, weil _ entmutigend war.",der Kalender,das Notizbuch
pr_de_002004,"Um ihre Produktivität zu steigern, begann sie, eine Aufgabenliste in ein tägliches Notizbuch zu schreiben, und warf ihren Kalender weg, weil _ ermutigend war.",der Kalender,das Notizbuch
pr_de_002018,"James bereute es, die unreife Mango gegessen zu haben und akzeptierte später, stattdessen den Apfel zu essen, und fand heraus, dass _ sauer ist.",die Mango,der Apfel
pr_de_002284,"James wusste, dass das Essen kalt geworden wäre, bevor er aus dem Laden zurückkam, also kaufte er den Artikel in einem Kiosk, weil _ weiter entfernt ist.",der Kiosk,der Laden
pr_de_002313,"Kenny wollte Paulie in der Kathedrale heiraten, aber Paulie hatte Angst vor großen Orten, und so fand ihre Trauung stattdessen in einer Höhle statt, da _ riesig war.",die Höhle,die Kathedrale
pr_de_002381,"Margie wollte Sonnenbrand verhindern, wenn sie an den Strand ging, also trug sie Sonnenschutzmittel aus der Tube direkt auf den Körper auf, bis _ vollständig bedeckt war.",der Körper,die Tube
pr_de_002382,"Margie wollte Sonnenbrand verhindern, wenn sie an den Strand ging, also trug sie Sonnenschutzmittel aus der Tube direkt auf den Körper auf, bis _ vollständig erschöpft war.",der Körper,die Tube
pr_de_002495,"Toby gab es auf, den Kalender zu benutzen, um organisiert zu bleiben, und fing an, eine Liste zu erstellen, weil _ frustrierend war.",der Kalender,die Liste
pr_de_002496,"Toby gab es auf, den Kalender zu benutzen, um organisiert zu bleiben, und fing an, eine Liste zu erstellen, weil sich _ beruhigte.",der Kalender,die Liste
