item_id,sentence,option_a,option_b
pr_fr_000088,"John soupçonnait que le porc, et non le hamburger, lui avait donné une intoxication alimentaire, parce que _ avait été correctement cuit.",le porc,le hamburger
pr_fr_000124,"Elle a ressenti beaucoup de colère en voyant l' école, mais pas en voyant l' église, parce que c' est dans _ qu' elle a eu de bonnes expériences.",l' école,l' église
pr_fr_000141,"Le PDG a remplacé le tapis au travail dans la salle de repos par du bois dur pendant les vacances d' hiver, _ était vieux.",le tapis,le bois
pr_fr_000142,"Le PDG a remplacé le tapis au travail dans la salle de repos par du bois dur pendant les vacances d' hiver, _ était à la mode.",le tapis,le franc
pr_fr_000292,"L' enfant a eu des démangeaisons en portant la chemise, mais elles ont disparu lorsqu' il a appliqué de l' huile, car _ lui était apaisante.",l' huile,la chemise
pr_fr_000503,"Alexis voulait perdre du poids, alors elle a acheté un banc pour soulever des poids et un pack repas hypocalorique, mais _ est tombé en panne.",le banc,le pack
pr_fr_000504,"Alexis voulait perdre du poids, alors elle a acheté un banc pour soulever des poids et un pack repas hypocalorique, mais _ contenait des additifs.",le pack,le banc
pr_fr_000581,"Quand Steve est allé à la pêche, il a choisi d' utiliser une canne au lieu d' une lance parce que _ exigeait des compétences de pêche avancées.",la canne,la lance
pr_fr_000582,"Quand Steve est allé à la pêche, il a choisi d' utiliser une canne au lieu d' une lance parce que _ exigeait de simples compétences de pêche.",la lance,la canne
pr_fr_000621,"Son masque était suffisamment convaincant pour le faire entrer dans le bâtiment, mais il a été arrêté au bureau, car _ avait une sécurité plus faible.",le bâtiment,le bureau
pr_fr_000703,"Kalli avait beaucoup d' anxiété à parler dans le microphone, mais était à l' aise avec l' ordinateur, car _ ne lui était pas familier.",le microphone,l' ordinateur
pr_fr_000731,"Le fermier voulait élever plus de lapins, alors il a essayé un nouveau type d' aliment et un nouvel enclos, mais _ a rendu les lapins malades.",l' enclos,l' aliment
pr_fr_000804,"Evelyn s' est fait percer le nez et a choisi un cerceau en or plutôt qu' un clou en argent, car _ avait l' air plus frais.",le cerceau,le goujon
pr_fr_000845,"Nous avons refusé de livrer la pizza au dortoir, mais nous avons été heureux de l' apporter au bureau, car _ avait négligé de nous payer.",le bureau,le dortoir
pr_fr_000864,"Lorsque le bandage a échoué, nous avons utilisé un chiffon pour traiter la plaie, car _ était à la hauteur de la tâche.",le tissu,le bandage
pr_fr_001006,"Ecrire un essai n' a pas été facile pour Adam, contrairement à l' écriture d' un poème, car _ lui était extrêmement difficile à composer.",l' essai,le poème
pr_fr_001007,"Écrire un essai n' a pas été facile pour Adam, contrairement à l' écriture d' un poème, car _ lui était extrêmement facile à composer.",l' essai,le poème
pr_fr_001054,"J' ai construit un nouveau placard à ma femme, mais elle n' aimait pas ça aussi bien que l' ancien tiroir, car _ avait plus de place.",le placard,le tiroir
pr_fr_001061,"Afin d' aider une amie atteinte du SSPT, elle a laissé un dépliant de thérapie de groupe sur la table au lieu d' un livre d' auto-assistance car _ serait inutile.",le livre,le dépliant
pr_fr_001081,"Le médecin a essayé de guérir la femme de son cancer par un médicament expérimental, mais il a échoué parce que _ était trop faible.",le médicament,le cancer
pr_fr_001095,"Maria est entrée dans la petite boutique et a pris un panier au lieu d' un chariot, car elle pensait que _ ne serait pas de la bonne taille pour ses achats.",le chariot,le panier
pr_fr_001243,"Si vous cherchez des maisons à acheter, je vous recommande de regarder dans le journal le magazine d' un agent immobilier, car _ propose généralement des ventes privées moins chères.",le journal,le magazine
pr_fr_001330,"L' élève connaissait les mathématiques de base grâce au livre, bien qu' il ne comprenne pas mes problèmes au tableau, car _ avait des équations avancées.",le tableau,le livre
pr_fr_001498,"Le crayon errant de l 'enfant a transformé toute la charge de linge en une couleur jaune vif, parce que _ était jaune.",le linge,le crayon
pr_fr_001499,"Le crayon errant de l 'enfant a transformé toute la charge de linge en une couleur jaune vif, parce que _ était blanc.",le linge,le crayon
pr_fr_001562,"Comme il était dangereux de faire de l' auto-stop, Sam a décidé d' acheter la voiture au lieu de la moto pour se rendre au travail, car _ n' était pas sûre.",la voiture,la moto
pr_fr_001563,"Comme il était dangereux de faire de l' auto-stop, Sam a décidé d' acheter la voiture au lieu de la moto pour se rendre au travail, car _ était sûre.",la moto,la voiture
pr_fr_001676,"James s' est rendu compte qu' il ne pouvait pas vendre sa maison assez rapidement à quelqu' un qui pouvait se le permettre, alors il a décidé de vendre sa voiture parce que _ était bon marché.",la voiture,la maison
pr_fr_001677,"James s' est rendu compte qu' il ne pouvait pas vendre sa maison assez rapidement à quelqu' un qui pouvait se le permettre, alors il a décidé de vendre sa voiture parce que _ était chère.",la voiture,la maison
pr_fr_001708,"Le bus devait arriver à 7h45 mais le concert avec mon groupe indépendant préféré était prévu pour 8h00; heureusement, _ était tôt, donc je n' ai rien manqué.",le bus,le concert
pr_fr_001709,"Le bus devait arriver à 7h45 mais le concert avec mon groupe indépendant préféré était prévu pour 8h00; heureusement, _ était en retard donc je n' ai rien manqué.",le concert,le bus
pr_fr_001811,"Elle voulait voir un film, plutôt qu' un concert, à son rendez-vous, car elle trouvait que _ avait l' air excitant.",le concert,le film
pr_fr_001824,"John a dit à ses parents qu' il pouvait aller à l' université depuis la maison, mais qu' il devait prendre un taxi pour aller à l' église parce que _ était proche.",l' église,l' université
pr_fr_001825,"John a dit à ses parents qu' il pouvait aller à l' université depuis la maison, mais il a dû prendre un taxi pour aller à l' église parce que _ est loin.",l' université,l' église
pr_fr_001851,"Comme Tom a entendu un bruit lorsqu' il a appliqué le frein, il a décidé de fixer l' étrier plutôt que le rotor, car _ était silencieux.",l' étrier,le rotor
pr_fr_001881,"Au restaurant, la femme a utilisé une cuillère au lieu d' une fourchette pour manger le dessert, car _ était incorrecte.",la cuillère,la fourchette
pr_fr_001896,"Le pot n' était pas fructueux pour la culture des graines, nous les avons donc mis dans un jardin, car _ manquait de nutriments.",le pot,le jardin
pr_fr_001897,"Le pot n' était pas fructueux pour la culture des graines, nous les avons donc mis dans un jardin, car _ était riche en nutriments.",le pot,le jardin
pr_fr_002127,"Jen a écrit son scénario sur un cahier, puis l' a déplacé sur son ordinateur, et _ s' est senti plus en sécurité pour elle.",le cahier,l' ordinateur
pr_fr_002214,"Pour rendre les choses moins gênantes entre eux, Kevin a acheté une marguerite à sa femme, même si elle préférait une tulipe, car _ était plus difficile à acquérir pour lui.",la tulipe,la marguerite
pr_fr_002320,"Lorsque Beth est allée se faire examiner une bosse, le médecin lui a dit qu' il pouvait s' agir d' une petite bosse inoffensive ou d' une grosse tumeur, généralement _ était grosse.",la tumeur,la bosse
pr_fr_002321,"Lorsque Beth est allée se faire examiner une bosse, le médecin lui a dit qu' il pouvait s' agir d' une petite bosse inoffensive ou d' une grosse tumeur, généralement _ était petite.",la tumeur,la bosse
pr_fr_002492,"L' histoire a suscité un sourire de la fille, mais elle n' aimait pas la chanson qui allait avec, il semble que _ était si heureuse.",l' histoire,la chanson
pr_fr_002556,"Max, le petit garçon, voulait du cola avec son déjeuner et non du jus parce que _ était plus rafraîchissant pour lui.",le cola,le jus
pr_fr_002557,"Max, le petit garçon, voulait du cola avec son déjeuner et non du jus parce que _ était plus générique pour lui.",le jus,le cola
pr_fr_002646,"Oly voulait faire de Jenna sa petite amie, alors il l' a emmenée à un rendez-vous au cinéma plutôt qu' au pub, car _ était un lieu inapproprié.",le cinéma,le pub
pr_fr_002647,"Oly voulait faire de Jenna sa petite amie, alors il l' a emmenée à un rendez-vous au cinéma plutôt qu' au pub, car _ était un lieu approprié.",le pub,le cinéma
pr_fr_002663,"Au lieu de faire relier le livre avec du cuir, Mary a demandé à le faire relier avec du tissu, parce que _ correspondait à ses autres livres.",le cuir,le tissu
pr_fr_002700,"Après l' opération du genou, il a essayé d' utiliser un déambulateur, mais il est passé en fauteuil roulant, car _ était mal à l' aise.",le déambulateur,le roulant
pr_fr_002780,"Il essayait de mesurer la hauteur de la boîte à l' aide d' une règle, mais a dû passer à une règle plus grande car _ est trop haute.",la règle,la boîte
