item_id,sentence,option_a,option_b,gold_answer
pr_de_000183,"Da die Nachricht vertraulich war, entschied sich Jason dafür, einen Anruf zu tätigen, anstatt einen Text zu senden, da er dachte, _ wäre eine schlechte Wahl.",der Anruf,der Text,B
pr_de_000202,"Wenn ich Blut spende, schaue ich nicht auf die Nadel, bis ich meinen Keks bekomme, und es ist immer toll zu sehen, dass _ ziemlich klein ist.",der Keks,die Nadel,B
pr_de_000408,"Während sie sich an ihrem freien Tag gelangweilt hatte, beschloss Alexandria, Zeit damit zu verbringen, das Buch zu lesen und den Film nicht anzusehen, weil _ langweilig war.",das Buch,der Film,B
pr_de_000418,"Ihr Freund bereute es, ihr eine Jacke gekauft zu haben und bekam stattdessen einen neuen Hut, da er wusste, dass sie dachte, _ passe perfekt zu ihrer Garderobe.",der Hut,die Jacke,A
pr_de_000502,"Angesichts der Größe des Bauches, wenn eine Frau schwanger ist, kann es für sie schwierig sein, ein Auto zu fahren, da _ eng wird.",der Bauch,das Auto,B
pr_de_000951,"Der Mann konnte nicht hören, was das Telefon sagte, und er riet sich, die Seite des Lastwagens zu verlassen, weil _ laut ist.",der Lastwagen,das Telefon,A
pr_de_000952,"Der Mann konnte nicht hören, was das Telefon sagte, und er riet sich, die Seite des Lastwagens zu verlassen, weil _ niedrig ist.",der Lastwagen,das Telefon,B
pr_de_001041,"Der Brief, den James an die Schule schickte, wurde schneller zugestellt als der, der ins Krankenhaus geschickt wurde, weil _ in der Nähe ist.",die Schule,das Krankenhaus,A
pr_de_001042,"Der Brief, den James an die Schule schickte, wurde schneller zugestellt als der, der ins Krankenhaus geschickt wurde, weil _ weit entfernt ist.",die Schule,das Krankenhaus,B
pr_de_001201,"Brunhilda entschied sich dafür, die Brosche anstelle der Halskette zu tragen, um die reiche Zahl in der Studie zu treffen und zu beeindrucken, da sie der Meinung war, dass _ billig aussah.",die Halskette,die Brosche,A
pr_de_001202,"Brunhilda entschied sich dafür, die Brosche anstelle der Halskette zu tragen, um die reiche Zahl in der Studie zu treffen und zu beeindrucken, da sie der Meinung war, dass _ teuer aussah.",die Halskette,die Brosche,B
pr_de_001643,"Besorgt darüber, dass das Gericht pünktlich sein würde, beschloss die Frau, anstelle des Zuges ein Taxi zu nehmen, da _ früher dort ankommen würde.",das Taxi,der Zug,A
pr_de_001644,"Besorgt darüber, dass das Gericht pünktlich sein würde, beschloss die Frau, anstelle des Zuges ein Taxi zu nehmen, da _ später dort ankommen würde.",der Zug,das Taxi,A
pr_de_002003,"Um ihre Produktivität zu steigern, begann sie, eine Aufgabenliste in ein tägliches Notizbuch zu schreiben, und warf ihren Kalender weg, weil _ entmutigend war.",der Kalender,das Notizbuch,A
pr_de_002004,"Um ihre Produktivität zu steigern, begann sie, eine Aufgabenliste in ein tägliches Notizbuch zu schreiben, und warf ihren Kalender weg, weil _ ermutigend war.",der Kalender,das Notizbuch,B
pr_de_002018,"James bereute es, die unreife Mango gegessen zu haben und akzeptierte später, stattdessen den Apfel zu essen, und fand heraus, dass _ sauer ist.",die Mango,der Apfel,A
pr_de_002284,"James wusste, dass das Essen kalt geworden wäre, bevor er aus dem Laden zurückkam, also kaufte er den Artikel in einem Kiosk, weil _ weiter entfernt ist.",der Kiosk,der Laden,B
pr_de_002313,"Kenny wollte Paulie in der Kathedrale heiraten, aber Paulie hatte Angst vor großen Orten, und so fand ihre Trauung stattdessen in einer Höhle statt, da _ riesig war.",die Höhle,die Kathedrale,B
pr_de_002381,"Margie wollte Sonnenbrand verhindern, wenn sie an den Strand ging, also trug sie Sonnenschutzmittel aus der Tube direkt auf den Körper auf, bis _ vollständig bedeckt war.",der Körper,die Tube,A
pr_de_002382,"Margie wollte Sonnenbrand verhindern, wenn sie an den Strand ging, also trug sie Sonnenschutzmittel aus der Tube direkt auf den Körper auf, bis _ vollständig erschöpft war.",der Körper,die Tube,B
pr_de_002495,"Toby gab es auf, den Kalender zu benutzen, um organisiert zu bleiben, und fing an, eine Liste zu erstellen, weil _ frustrierend war.",der Kalender,die Liste,A
pr_de_002496,"Toby gab es auf, den Kalender zu benutzen, um organisiert zu bleiben, und fing an, eine Liste zu erstellen, weil sich _ beruhigte.",der Kalender,die Liste,B
pr_de_002587,"Wenn Sie sich Häuser zum Kaufen ansehen, würde ich empfehlen, in der Zeitung über ein Maklermagazin zu schauen, da _ normalerweise Privatverkäufe hat, die billiger sind.",die Zeitung,das Magazin,A
pr_de_002588,"Wenn Sie sich Häuser zum Kaufen ansehen, würde ich empfehlen, in der Zeitung nach einem Maklermagazin zu suchen, da _ normalerweise teure Verkäufe in Auftrag gegeben hat.",das Magazin,die Zeitung,A
pr_de_002896,"Nachdem ich mit einem Kater zurück ins Hotelzimmer gestolpert war, verbrachte ich die Nacht damit, die Toilette zu umarmen, weil _ perfekt war, um es auszuschlafen.",die Toilette,das Hotelzimmer,B
pr_de_002901,"Die Person, die die Kirche entworfen hat, hat den Architekturwettbewerb gewonnen und nicht die Person, die den Wolkenkratzer entworfen hat, weil _ wunderschön war.",die Kirche,der Wolkenkratzer,A
pr_de_002902,"Die Person, die die Kirche entworfen hat, hat den Architekturwettbewerb gewonnen und nicht die Person, die den Wolkenkratzer entworfen hat, weil _ hässlich war.",die Kirche,der Wolkenkratzer,B
pr_de_003189,"Da es gefährlich war, per Anhalter zu fahren, beschloss Sam, das Auto anstelle des Motorrads zu kaufen, um zur Arbeit zu kommen, da _ unsicher war.",das Auto,das Motorrad,B
pr_de_003190,"Da es gefährlich war, per Anhalter zu fahren, beschloss Sam, das Auto anstelle des Motorrads zu kaufen, um zur Arbeit zu kommen, da _ sicher war.",das Auto,das Motorrad,A
pr_de_003323,"Er findet, dass die Skulptur, die er gekauft hat, so viel besser ist als Kunst als das Gemälde, das ich gekauft habe, nur weil _ teuer ist.",das Gemälde,die Skulptur,B
pr_de_003324,"Er findet, dass die Skulptur, die er gekauft hat, so viel besser ist als Kunst als das Gemälde, das ich gekauft habe, nur weil _ billig ist.",die Skulptur,das Gemälde,B
pr_de_003451,"James erkannte, dass er sein Haus nicht schnell genug an jemanden verkaufen konnte, der es sich leisten konnte, und beschloss, sein Auto zu verkaufen, weil _ billig ist.",das Auto,das Haus,A
