item_id,premise,hypothesis,gold_label,model_label,correct
ps_en_000024,"Is it true that if Evelyn lands in New York, her best friend will greet her at the airport?",Evelyn has a best friend.,E,,
ps_en_000108,"Is it true that if Paul travels to London, his best friend will meet him at the train station?",Paul has a best friend.,E,,
ps_en_000215,"Sam believes that if Alexander's team wins the championship, their fans will celebrate in the streets.",Alexander has fans.,E,,
ps_en_000254,"It's not the case that if Caleb agrees to attend the conference, his colleague will drive him to the venue.",Caleb has a colleague.,E,,
ps_en_000416,"Is it true that if Nathan's flight arrives on time, his best friend will be waiting for him at the airport?",Nathan has a best friend.,E,,
ps_en_000509,"If Jacob arrives on time, his boss will give him a promotion.",Jacob has a boss.,E,,
ps_en_000519,"Sam believes that if Barbara finishes her work on time, her colleague will give her a ride home.",Barbara has a colleague.,E,,
ps_en_000605,"If Harper's flight arrives on time, his brother will be waiting for him at the airport.",Harper has a brother.,E,,
ps_en_000666,"It's not the case that if Noah completes his work on time, his colleague will cover his shift at the hospital.",Noah has a colleague.,E,,
ps_en_000685,"If Lisa agrees to attend the conference, her colleague will accompany her for the presentation.",Lisa has a colleague.,E,,
ps_en_000740,"Is it true that if Nancy arrives early, his brother will meet him at the train station?",Nancy has a brother.,E,,
ps_en_000790,"It's not the case that if Jessica completes her work early, her colleague will cover her shift.",Jessica has a colleague.,E,,
ps_en_000972,"Is it true that if Matt is a scuba diver, he'll bring his wetsuit?",Matt has a wetsuit.,E,,
ps_en_000983,"Sam believes that if Theodore is a ski teacher, he'll bring his skis.",Theodore has skis.,E,,
ps_en_001013,"If Kenneth is a factory worker, he'll wear his factory uniform.",Kenneth has a factory uniform.,E,,
ps_en_001035,"Sam believes that if Gary is a musician, he'll play his guitar.",Gary has a guitar.,E,,
ps_en_001042,"It's not the case that if Roger is a roofer, he'll secure roofing shingles with his roofing nailer.",Roger has a roofing nailer.,E,,
ps_en_001188,"Is it true that if Aliya is a nurse, she'll wear her scrub to work?",Aliya has scrubs.,E,,
ps_en_001229,"If Abigail finishes her presentation early, she'll never clean a bathtub again.",Abigail has cleaned a bathtub before.,E,,
ps_en_001388,"Is it true that if Liam travels to Paris, he'll never issue a statement against the politician again?",Liam has issued a statement against the politician before.,E,,
ps_en_001407,"Sam believes that if Mary takes the train to the city, she'll never lend a book to Dorothy again.",Mary has lent a book to Dorothy before.,E,,
ps_en_001487,"Sam believes that if Mia's flight arrives on time, she'll never run with a team member at the university again.",Mia has run with a team member at the university before.,E,,
ps_en_001588,"Is it true that if David arrives early, he'll never anticipate a result from the team again?",David has anticipated a result from the team before.,E,,
ps_en_001621,"If Abigail passes the exam, she'll never confide in a friend of Sania again.",Abigail has confided in a friend of Sania before.,E,,
ps_en_001646,"It's not the case that if Ryan flight is delayed, he'll never delegate a task to the workers again.",Ryan has delegated a task to the workers before.,E,,
ps_en_001780,"Is it true that if Anthony drives to the concert, he'll never join a club again?",Anthony has joined a club before.,E,,
ps_en_001792,"Is it true that if Margaret arrives early, she'll never lead a social movement again?",Margaret has led a social movement before.,E,,
ps_en_001836,"Is it true that if Karen finishes her work early, she'll never participate in a workshop again?",Karen has participated in a workshop before.,E,,
ps_en_001981,"If Barbara finishes her work on time, she'll never solve an equation again.",Barbara has solved an equation before.,E,,
ps_en_002022,"It's not the case that if Isaac arrives on time, he'll never survey a landscape to plan a new development again.",Isaac has surveyed a landscape to plan a new development before.,E,,
ps_en_002078,"It's not the case that if Jacob completes the project on time, he'll never vocalize a deeply held belief again.",Jacob has vocalized a deeply held belief before.,E,,
ps_en_002104,"Is it true that if Noah graduates from college, he'll never yield a significant breakthrough again?",Noah has yielded a significant breakthrough before.,E,,
ps_en_002200,"If Joel inspected a salvage vehicle, he'll never inspect a salvage vehicle again.",Joel inspected a salvage vehicle.,N,,
ps_en_002308,"It's not the case that if Melissa joined a club, she'll never join a club again.",Melissa joined a club.,N,,
ps_en_002328,"If the senator blamed a mistake by Julia, he'll never blame a mistake by Julia again.",The senator blamed a mistake by Julia.,N,,
ps_en_002356,"Is it true that if Ted argued with a colleague at the office, he'll never argue with a colleague at the office again?",Ted argued with a colleague at the office.,N,,
ps_en_002372,"It's not the case that if the guy refurbished a piece of furniture, he'll never refurbish a piece of furniture again.",The guy refurbished a piece of furniture.,N,,
ps_en_002387,"Sam believes that if Curtis issued a statement against the politician, he'll never issue a statement against the politician again.",Curtis issued a statement against the politician.,N,,
ps_en_002575,"Is it true that if the boy has a lost sister, he'll report his lost sister missing?",The boy has a lost sister.,N,,
ps_en_002616,"Sam believes that if Homer has a friendly stepsister, he'll sing a song for his friendly stepsister.",Homer has a friendly stepsister.,N,,
ps_en_002636,"It's not the case that if Bob has a dutiful stepdaughter, he'll rent a house for his dutiful stepdaughter.",Bob has a dutiful stepdaughter.,N,,
ps_en_002644,"It's not the case that if the cashier has a kind sister, he'll purchase a car for his kind sister.",The cashier has a kind sister.,N,,
ps_en_002751,"It's not the case that if the boss has a bright best friend, he'll evaluate his bright best friend's performance.",The boss has a bright best friend.,N,,
ps_en_002769,"If Nadia has an intellectual nephew, she'll store his intellectual nephew's stuff.",Nadia has an intellectual nephew.,N,,
ps_en_002823,"It's not the case that if the teacher acknowledges this contribution by Meg, she'll never acknowledge a contribution by Meg again.",The teacher has acknowledged a contribution by Meg before.,N,,
