item_id,sentence,option_a,option_b
pr_ru_000035,"Когда я увидел его в маске, я испытал больше эмоций, чем когда он был в шляпе, потому что _ была очень страшной.", шляпа, маска
pr_ru_000036,"Когда я увидел его в маске, я испытал больше эмоций, чем когда он был в шляпе, потому что _ была совершенно нормальной.", маска, шляпа
pr_ru_000071,"Я пытался сделать семенную бомбу для своей почвы снаружи, но у меня ничего не вышло, и мне пришлось переделать бомбу побольше, потому что _ была слишком маленькой.", бомба, почва
pr_ru_000072,"Я пытался сделать семенную бомбу для своей почвы снаружи, но у меня ничего не вышло, и мне пришлось переделать бомбу побольше, потому что _ была слишком глубокой.", почва, бомба
pr_ru_000095,"Ее парень пожалел, что купил ей куртку, и вместо этого подарил ей новую шляпу, так как он знал, что она думала, что _ плохо сочетается с ее гардеробом.", шляпа, куртка
pr_ru_000096,"Ее парень пожалел, что купил ей куртку, и вместо этого подарил ей новую шляпу, так как он знал, что она думала, что _ идеально подходит к ее гардеробу.", шляпа, куртка
pr_ru_000103,"Он дал мне щетку, которая сломалась быстрее, чем расческа, которая была у меня, потому что _ была сделана из дешевого материала.", щетка, расческа
pr_ru_000145,"В конце концов он выбросил старые поздравительные открытки, которые он хранил в ящике годами, в мусор, когда он закончил, _ был пуст.", ящик, мусор
pr_ru_000205,"Он решил, что рубашка слишком рваная, чтобы ее можно было поправить, но шляпа была красивой, поэтому _ отправилась в мусор.", шляпа, рубашка
pr_ru_000206,"Он решил, что рубашка слишком рваная, чтобы ее можно было поправить, но шляпа была хорошей, поэтому _ была выставлена на обозрение.", рубашка, шляпа
pr_ru_000213,"Изумруд, который купила моя сестра, был лучше, чем рубин, который был у меня, потому что _ был больше.", изумруд, рубин
pr_ru_000214,"Изумруд, который купила моя сестра, был лучше, чем рубин, который был у меня, потому что _ был меньше.", изумруд, рубин
pr_ru_000233,"Письмо, которое Джеймс послал в школу, было доставлено быстрее, чем письмо, отправленное в больницу, потому что _ находится далеко.", больница, школа
pr_ru_000282,"Мы решили, что химия не будет темой статьи, и вместо этого выбрали биологию, поскольку _ не имела отношения к текущим исследованиям.", биология, химия
pr_ru_000336,"Джеймс смог заработать больше денег, когда продал свой велосипед, в отличие от того, когда он продал свой мяч, потому что _ был дешевле.", велосипед, мяч
pr_ru_000337,"Джеймс смог заработать больше денег, когда продал свой велосипед, в отличие от того, когда он продал свой мяч, потому что _ стал дороже.", байк, мяч
pr_ru_000362,"Калли очень беспокоилась о том, чтобы говорить в микрофон, но ей было комфортно с компьютером, потому что _ был ей знаком.", микрофон, компьютер
pr_ru_000443,"Моя спина не болела, когда я нес стул, но мне было больно, когда я нес телевизор, потому что _ был тяжелее.", стул, телевизор
pr_ru_000535,"Этот человек решил, что карьера в области географии принесет больше денег, чем карьера в области философии, потому что _ была убыточной.", география, философия
pr_ru_000573,"Джеймс знал, что еда остыла, прежде чем вернуться из магазина, поэтому он купил ее в киоске, потому что _ ближе.", киоск, магазин
pr_ru_000574,"Джеймс знал, что еда остынет, прежде чем вернуться из магазина, поэтому он купил ее в киоске, потому что _ находится дальше.", магазин, киоск
pr_ru_000727,"Эллиот хотел носить свой новый рюкзак в школу, но его мать заставила его использовать портфель, потому что она думала, что _ выглядит стильно.", портфель, рюкзак
pr_ru_000769,"Я думал, что холст достаточно велик, чтобы поместиться во внутренний дворик, но этого не произошло, потому что _ был слишком маленьким.", дворик, холст
pr_ru_000770,"Я думал, что холст достаточно велик, чтобы поместиться во внутренний дворик, но этого не произошло, потому что _ был слишком большим.", холст, дворик
pr_ru_000812,"Он думает, что купленная им скульптура намного лучше, чем картина, которую я купил, только потому, что _ дешевая.", скульптура, картина
pr_ru_000872,"Автобус должен был прибыть в 7: 45, но концерт с участием моей любимой инди-группы был назначен на 8: 00; К счастью, _ приехал рано, поэтому я ничего не пропустил.", концерт, автобус
pr_ru_000873,"Автобус должен был прибыть в 7: 45, но концерт с участием моей любимой инди-группы был назначен на 8: 00; К счастью, _ опоздал, поэтому я ничего не пропустил.", автобус, концерт
pr_ru_000909,"Мы отказались от радио как средства массовой информации, чтобы сделать наше заявление, и вместо этого выбрали телевидение, поскольку _ охватило очень много людей.", радио, телевидение
pr_ru_000910,"Джон хотел отправиться в Австралию на корабле, но у него было мало времени, поэтому он воспользовался поездом, потому что _ быстрее.", корабль, поезд
pr_ru_000911,"Джон хотел отправиться в Австралию на корабле, но у него было мало времени, поэтому он воспользовался поездом, потому что _ медленнее.", поезд, корабль
pr_ru_000944,"Билли знал, что его змея LEGO голодна, но не знал, съест ли она крысу, потому что _ была не жива.", крыса, змея
pr_ru_000945,"Билли знал, что его змея LEGO голодна, но не знал, съест ли она крысу, потому что _ не умерла.", крыса, змея
pr_ru_000979,"Мэри понимала, как работают кредит, долг и годовая процентная ставка, а Сью - нет, поэтому _ Сью стал довольно большим.", кредит, долг
pr_ru_000980,"Мэри понимала, как работают кредит, долг и годовая процентная ставка, а Сью - нет, поэтому _ Мэри стал неплохим.", долг, кредит
pr_ru_001017,"Джон обнаружил, что в учебнике больше страниц, чем в журнале, несмотря на тот же размер, поэтому _ должен быть легче.", журнал, учебник
pr_ru_001018,"Джон обнаружил, что в учебнике больше страниц, чем в журнале, несмотря на тот же размер, поэтому _ должен быть тяжелее.", учебник, журнал
pr_ru_001027,"Ему нужно было очистить бумажные обои, которые не должны намокать, поэтому использовал новую губку, а не тряпку с водой, так как _ намокла.", тряпка, губка
pr_ru_001028,"Ему нужно было очистить бумажные обои, которые не должны намокать, поэтому использовал новую губку, а не тряпку с водой, поскольку _ была сухой.", губка, тряпка
pr_ru_001064,"Джеймс надел футболку на концерт, а куртку оставил дома, потому что _ была более неприметной, и ему нужно было что-то, что гармонирует с ней.", куртка, футболка
pr_ru_001065,"Джеймс надел футболку на концерт, а куртку оставил дома, потому что _ была более яркой и ему нужно было что-то, что гармонирует с ней.", куртка, футболка
pr_ru_001146,"Если вы пойдете в местный ресторан, убедитесь, что вы купили сэндвич, а не суп, потому что _ просто фантастический.", суп, бутерброд
pr_ru_001213,"Джеймс составил список слов, которые выучил за день, и ему, кажется, нужно больше листа для этого, потому что _ короткий.", лист, список
pr_ru_001265,"У них была такая большая рождественская елка, что они не были уверены, пройдет ли она через входную дверь, поэтому они попробовали, но _ оказалась слишком большой.", елка, дверь
pr_ru_001266,"У них была такая большая рождественская елка, что они не были уверены, пройдет ли она через входную дверь, поэтому они попытались, но _ оказалась слишком маленькой.", дверь, елка
pr_ru_001297,"История вызвала у девушки улыбку, но ей не понравилась песня, которая к ней пришла, похоже, _ была такой счастливой.", история, песня
pr_ru_001298,"История вызвала у девушки улыбку, но ей не понравилась песня, которая к ней пришла, похоже, _ была такой грустной.", песня, история
pr_ru_001378,"Джон не мог ничего купить в магазине, кроме ночи, и он пошел в киоск, чтобы купить кое-что, потому что _ открыт.", киоск, магазин
pr_ru_001388,"Лейси не знала, что у нее лысая шина, поэтому ее машина свернула на дороге во время дождя, потому что _ была слишком влажной.", шина, дорога
pr_ru_001396,"Во время поездки мы планировали заняться сноркелингом в океане, и я знал, что должен использовать гидрокостюм вместо купального костюма, потому что _ хрупкий.", костюм, гидрокостюм
pr_ru_001456,"Ребенок был суетливым, поэтому вместо того, чтобы дать ей погремушку, я дал ей соску, потому что _ не дает ребенку заснуть.", погремушка, соска
pr_ru_000008,"Джон подозревает, что в чае нет сахара, но он есть в кофе, потому что _ горький.", чай, кофе
pr_ru_000117,"Продолжительность встречи была намного больше, чем у предыдущей презентации, потому что _ была более подробной.", презентация, встреча
pr_ru_000273,"Джордж предпочел, чтобы они оба использовали нож вместо пистолета на дуэли, потому что _ мог частично поранить их.", нож, пистолет
pr_ru_000304,"Джон вылил весь мешок с золотом в сундук с сокровищами, пока _ не наполнился.", сундук, мешок
pr_ru_000352,"Стратегия генерала заключалась в том, чтобы взять город вместо взятия форта, поскольку _ был активом в битве.", город, форт
