item_id,sentence,option_a,option_b,correct_answer_num,gold_answer,correct_text
11,"ቤት ስትገዛ ፓትሪሺያ እንደ ታንያ ብዙ ገንዘብ ስለሌላት, _ ባለ 5 መኝታ ቤት መኖሪያ ገዛች.",ፓትሪሺያ,ታንያ,2,B,ታንያ
17,ፖላንድ ከገባ በኋላ ዴኒስ ከጄሰን የበለጠ ጉዞውን ያስደስተው ነበር ምክንያቱም _ ስለ ፖላንድ ቋንቋ ጥልቀት የሌለው ግንዛቤ ነበረው.,ዴኒስ,ጄሰን,2,B,ጄሰን
18,ፖላንድ እንደገባ ዴኒስ ከጄሰን የበለጠ ጉዞውን ያስደስተው ነበር ምክንያቱም _ ስለ ፖላንድ ቋንቋ ጠለቅ ያለ ግንዛቤ ነበረው.,ዴኒስ,ጄሰን,1,A,ዴኒስ
23,_ ውሻውን ብዙ ምግብ ስለሚመግብ ኒክ ከክሬግ ውሻ የሚበልጥ ውሻ ነበረው.,ኒክ,ክሬግ,1,A,ኒክ
45,"ኒል የአዳምን ትልቅ ውሻ ለማጠብ ተስማምቷል, እና _ እርዳታ ስላገኘ በጣም ተደስቶ ነበር.",ኒል,አዳም,2,B,አዳም
46,ጄሲካ ከሞኒካ የመጣው መጣጥፍ እንደተረዳች እና እንደተዝናናች ግልጽ ነበር ምክንያቱም _ አንባቢዋ ነች.,ጄሲካ,ሞኒካ,1,A,ጄሲካ
58,_ ደንበኛ ስለሆነች ካትሪና ለማሪያ በአካባቢው ባለው ገበያ ምንጣፍ ትሸጣለች .,ካትሪና,ማሪያ,2,B,ማሪያ
77,ኤሪክ ከጀስቲን ይልቅ ለመደሰት ቀላል ነበር. ምክንያቱም _ መጥፎ ስሜት ነበረው.,ኤሪክ,ጀስቲን,2,B,ጀስቲን
78,"ቀደም ሲል _ ብዙ ገንዘብ ስላበደረ, ክፍያው በጄሰን ለዴኒስ ተከፍሏል.",ጄሰን,ዴኒስ,2,B,ዴኒስ
79,"ቪክቶሪያ በሳራ ጠረን የተነሳ ተጸየፈች, እና _ በዙሪያቸው ለመሆን አፈረች.",ቪክቶሪያ,ሳራ,2,B,ሳራ
