item_id,premise,hypothesis,gold_label
ps_vi_000034,Cô gái có thể giúp tôi khắp cả thị trấn.,Cô gái tôi cần sự giúp đỡ sống một cách xa vời.,E
ps_vi_000162,"Cô ghét điều đó, và cô thường nói với chị mình mỗi ngày, cô nói rằng, Chị đang làm sai.",Cô ấy rất hay chỉ trích em gái mình.,E
ps_vi_000297,"tôi sẽ nghĩ, vào ban đêm tôi không thể ngủ được.",Tôi ngủ như một đứa bé vào ban đêm!,C
ps_vi_000322,"Vì vậy, sau đó tôi nhìn lên, tôi tìm ra nơi Ramona ở, và tôi gọi cô ấy ở đó.",Tôi gọi Ramona đến nhà tôi.,N
ps_vi_000379,"Ừ, tôi dành phần lớn thời gian của mình cho, ừ, Hoạt động đặc biệt.",Tôi đã tham gia các hoạt động đặc biệt mỗi ngày.,N
ps_vi_000494,Ông ta đủ tuổi để làm bố tôi.,Anh ấy trẻ hơn tôi nhiều.,C
ps_vi_000623,"Ừm không, tôi sống dựa vào đại học",Tôi sống cách kí túc xá một vài toà nhà.,N
ps_vi_000678,"có khá nhiều việc xảy ra giữa Washington, họ bất khả chiến bại và Buffalo New Orleans và Chicago vì Chicago chỉ thua hai lần và một trong số đó là thua Buffalo",Washington thua hết các trận.,C
ps_vi_000745,Brian ở Plano Texas hôm nay bạn thế nào,Bạn khỏe không Mary?,C
ps_vi_000763,nó có lẽ nhiều hơn bởi vì tôi chỉ thích vùng phủ sóng hơn là vì tôi không có thời gian để đọc bài báo mà bạn biết,Tôi thích mức độ phù hợp bởi vì tôi không bao giờ có thời gian để ngồi và đọc bài báo.,E
ps_vi_000778,"và ừm anh ta đã khá hơn đã khá hơn trước, anh ta có lẽ đã đạt tới chín mươi lăm phần trăm của mình","Sau khi anh ta thoát ra khỏi nó, một lần nữa anh ta lại là chính mình.",E
ps_vi_000866,và uh tôi nghĩ rằng chúng tôi sẽ được uh ngang bằng với họ trong tiền lương và công nhận trong dài hạn,Cuối cùng vị trí này nên có nhiều lựa chọn lương tốt hơn so với thay thế.,C
ps_vi_000897,và chúng ta hãy xem hai mươi năm trước tôi đoán rằng chúng ta mới bắt đầu thâm nhập vào những gì gọi là cuộc cách mạng tình dục nơi uh sau viên thuốc và uh uh,Cuộc Cách mạng Giới Tính vẫn chưa xảy ra.,C
ps_vi_000909,"vâng tôi chỉ nghe nói về anh ta trong năm nay, bạn trai của tôi, vâng anh ấy thích một số loại nhạc đồng quê và anh ấy đã nghe nó",Bạn trai tôi nghe nhạc.,E
ps_vi_000987,với tôi thì đằng nào tôi trả tiền bởi vì khi tôi đi hoặc hãng bảo hiểm của tôi khi tôi trả một cái gì đó các hóa đơn dường như cao bất thường,Hóa đơn chăm sóc y tế luôn cao.,E
