item_id,premise,hypothesis
ps_ru_000001,"Ну, я даже не думал об этом, но я был так разочарован, что в конце концов опять поговорил с ним.",Я больше с ним не разговаривал.
ps_ru_000002,"Ну, я даже не думал об этом, но я был так разочарован, что в конце концов опять поговорил с ним.","Я был так расстроен, что даже снова начал с ним разговаривать."
ps_ru_000003,"Ну, я даже не думал об этом, но я был так разочарован, что в конце концов опять поговорил с ним.",Мы прекрасно поговорили.
ps_ru_000004,"А я считал это привилегией, и всё-же,  и всё-же я был единственный оперативный офицер категории девять два два - это была моя профессиональная специальность при Командовании ВВС.","Я не знал, что в тот день буду не единственным человеком в поле."
ps_ru_000005,"А я считал это привилегией, и всё-же,  и всё-же я был единственный оперативный офицер категории девять два два - это была моя профессиональная специальность при Командовании ВВС.","У меня было впечатление, что на ярмарке вакансий ВВС только у меня был такой номер."
ps_ru_000006,"А я считал это привилегией, и всё-же,  и всё-же я был единственный оперативный офицер категории девять два два - это была моя профессиональная специальность при Командовании ВВС.","Нам всем присвоили один и тот же номер, независимо от того, какие привилегии нам были обещаны, все это была ложь."
ps_ru_000007,"Они сказали, что меня вызовут , чтобы встретиться с парнем в конце.",Я никогда и никому не рассказывал о встрече.
ps_ru_000008,"Они сказали, что меня вызовут , чтобы встретиться с парнем в конце.","Мне сказали, что парня позовут на встречу со мной."
ps_ru_000009,"Они сказали, что меня вызовут , чтобы встретиться с парнем в конце.",Парень припозднился.
ps_ru_000010,"Об этом можно так много говорить, что я опущу подробности.","Я хочу рассказать вам все, что я знаю об этом!"
ps_ru_000011,"Об этом можно так много говорить, что я опущу подробности.","Я не буду об этом говорить, даже при том, что здесь многое стоит скрыть."
ps_ru_000012,"Об этом можно так много говорить, что я опущу подробности.","Я ничего не скажу об истории города, потому что об этом говорить можно очень много."
ps_ru_000013,"Это было главное, что мы старались сохранить, так как возможности сбросить водородную бомбу в 20 мегатонн с 30-ти, то есть с С-124, не было.","Нам было все равно, откладываем мы что-нибудь или нет."
ps_ru_000014,"Это было главное, что мы старались сохранить, так как возможности сбросить водородную бомбу в 20 мегатонн с 30-ти, то есть с С-124, не было.",Больше всего мы хотели спасти одну вещь.
ps_ru_000015,"Это было главное, что мы старались сохранить, так как возможности сбросить водородную бомбу в 20 мегатонн с 30-ти, то есть с С-124, не было.","Мы хотели сохранить водородную бомбу, потому что с ей очень сложно справиться."
ps_ru_000016,"И я не самом деле не знаю, почему.","Я уверен в отношении того, что является причиной."
ps_ru_000017,"И я не самом деле не знаю, почему.","Я не знаю, почему он менял школы."
ps_ru_000018,"И я не самом деле не знаю, почему.","Я не знаю, почему это произошло."
ps_ru_000019,"Это Фанни Флоно, она выросла в Огасте, Джорджия, и расскажет несколько историй из своего детства.","Фанни Флоно пришлось поменять расписание, и она не сможет сегодня рассказать нам никаких историй."
ps_ru_000020,"Это Фанни Флоно, она выросла в Огасте, Джорджия, и расскажет несколько историй из своего детства.","Фанни Флоно здесь и она поделится с нами своими детскими историями о времени, когда она росла в Августе в штате Джорджия."
ps_ru_000021,"Это Фанни Флоно, она выросла в Огасте, Джорджия, и расскажет несколько историй из своего детства.",Фанни Флоно смогла поговорить с нами сегодня несмотря на ее плотный график.
ps_ru_000022,И мне пришлось сделать 5 разъединений из U2.,Я имел дело с членами группы U2.
ps_ru_000023,И мне пришлось сделать 5 разъединений из U2.,Я вообще не имел дело с U2.
ps_ru_000024,И мне пришлось сделать 5 разъединений из U2.,Я работал с подразделениями У-2 каждый день на протяжении сорока лет.
ps_ru_000025,"Я был единственным, кто... э-э-э... вообще когда-либо регулировал приборы при проведении тестов в миниатюрных барокамерах.","Мне не нравилось, что только я один управлял регулирующими устройствами во время испытаний."
