id,language,sentence,option1,option2,answer,source_dataset
39WSF6KUV2JQBCAETMCCTX6ZAD1OEF-2,Zulu,"Lapho esePoland, uDennis walujabulela kakhulu uhambo kunoJason ngoba _ wayengaluqondi kahle ulimi lwesi Pholishi.",Dennis ,Jason ,2,winogrande_tight
3YZ7A3YHR77K7A8L90CI16YWOEW5S8-2,Zulu,Isitifiketi sikaJohn sasingabalulekile kangako kuneziqu zikaJim ngoba i _ sasivela eNyuvesi enkulu.,isitifiketi,iziqu,2,winogrande_tight
3RZS0FBRWK8TZE21CVJWS9BMZ6JPC3-1,Zulu,UEmily wasebenzisa imali eningi kwefoni ehlakaniphile yakhe kodwa uRachel wathenga eshibhile ngoba _ wayenesitayela kakhulu.,Emily,Rachel,1,winogrande_tight
3CIS7GGG67X0I6TI960LK1MWLVOUE1-1,Zulu,"URyan washayisa ingulube yasekhaya ka-Ian ngemoto yakhe, okwenza _ azizwe enecala elikhulu.",Ryna,lan,1,winogrande_tight
3G3AJKPCXLQKDOHNA39XM2SAB2JY4F-2,Zulu,UEric kwakulula ukumhlekisa kuno Justin ngoba _ wayenamahlaya.,u-Eric,uJustin,2,winogrande_tight
3V8JSVE8Y04HZFDNJ7XANMS9HPVYEB-2,Zulu,Kwakukhona izincwadi eziningi emtampweni wolwazi kunasesitolo sezincwadi ngoba _ sasincane.,umtapo wolwazi,isitolo sezincwadi,2,winogrande_tight
3N7PQ0KLI5N1PNHSAOSK5U8OFPL3EL-1,Zulu,U Benjamin wayenemahlaya entsha kuno Donald ngakho _ wayezonda umqamelo wama whoopie.,uBenjamin,uDonald,1,winogrande_tight
3IYI9285WUEC7SYA1GQCNBDJKKNJCC-2,Zulu,UJustin wayekwazi ukudlala umculo esigincini ngokungafani noCraig ngoba _ wayethanda imidlalo yaphandle.,uJustin,uCraig,2,winogrande_tight
3HEM8MA6H9AXTFCKHDKRCE03806PQT-1,Zulu,Umfundi wesayensi wazama ukusebenzisa isibonakude ukubona umthala kodwa  _ wawukude kakhulu.,umthala,Isibona kude,1,winogrande_tight
3M93N4X8HM1SE9N6Y2GC2GH17WPJS5-1,Zulu,UMichael wacela usizo lukaBrett lokususa ideski. _ wayengeke akwazi ukukwenza eyedwa.,uMichael,uBrett,1,winogrande_tight
