item_id,answer,confidence
487,A,4
46,A,5
324,A,5
798,A,5
141,A,4
722,A,4
138,A,5
58,A,5
254,A,5
651,A,3
603,A,5
826,A,5
555,A,5
614,A,5
540,A,4
286,A,4
660,A,5
437,A,5
18,A,5
183,A,4
79,A,5
569,A,5
289,B,5
807,A,4
510,A,4
99,B,5
140,B,3
139,B,5
325,B,5
440,B,4
556,B,5
799,B,5
652,B,5
650,B,5
682,B,5
78,B,5
45,B,5
761,B,4
386,B,5
17,B,5
182,B,4
665,B,5
433,B,5
752,B,2
598,B,5
77,B,5
11,REFUSE,1
503,B,5
23,B,5
400,B,4
656,A,3
410,A,4
21,A,4
810,B,5
640,A,4
109,A,4
283,B,5
85,REFUSE,1
439,B,3
641,A,5
738,A,4
248,A,5
75,B,5
754,A,5
558,B,5
22,B,4
708,A,4
198,A,4
586,REFUSE,1
320,B,4
184,B,3
317,A,4
