item_id,answer,confidence
11,B,4
17,A,4
18,B,4
23,B,5
45,B,4
46,B,4
58,B,4
77,A,5
78,B,4
79,B,5
99,B,4
138,B,4
139,A,4
140,B,4
141,A,4
182,B,4
183,A,3
254,B,4
286,A,4
289,A,5
324,A,4
325,A,4
386,B,4
400,A,4
433,B,4
437,A,5
440,A,4
487,B,5
503,A,4
510,A,4
540,A,4
555,B,4
556,B,4
569,A,4
598,A,3
603,B,4
614,B,4
650,B,5
651,B,5
652,A,4
660,B,5
665,A,4
682,B,4
722,B,5
21,A,4
42,B,4
57,A,4
67,A,4
85,A,4
109,B,5
112,B,4
166,A,4
168,B,5
174,A,4
184,A,4
198,B,4
234,B,4
237,B,4
255,B,4
256,A,4
257,B,4
261,B,4
307,A,4
308,A,4
317,B,4
320,B,4
329,B,3
356,B,4
374,A,3
381,B,4
385,B,4
395,REFUSE,1
410,B,3
423,B,5
424,B,4
426,A,4
435,B,3
446,A,4
448,A,5
452,B,5
469,A,4
504,B,3
522,B,5
528,B,4
553,B,4
586,B,4
600,A,4
630,A,3
633,B,4
640,B,4
642,B,4
655,B,4
661,B,5
671,B,4
697,B,4
698,B,4
703,B,4
741,B,4
