form,lemma,irregular,changed,ambiguous,rare,easy,subgroup
if,if,True,False,False,False,False,irregular
Google,Google,False,False,True,False,False,ambiguous
Morphed,morph,False,True,False,False,False,changed
GoogleOS,GoogleOS,False,False,False,True,False,rare
?,?,True,False,False,False,False,irregular
if,if,True,False,False,False,False,irregular
Google,Google,False,False,True,False,False,ambiguous
expanded,expand,False,True,False,False,False,changed
on,on,True,False,False,False,False,irregular
-,-,True,False,False,False,False,irregular
(,(,True,False,False,False,False,irregular
),),True,False,False,False,False,irregular
wares,wares,False,False,False,True,False,rare
a,a,True,False,True,False,False,irregular
-,-,True,False,False,False,False,irregular
fledged,fledged,False,False,False,True,False,rare
operating,operating,False,False,False,True,False,rare
?,?,True,False,False,False,False,irregular
[,[,True,False,False,False,False,irregular
Watch,Watch,False,False,False,True,False,rare
Jo,Jo,True,False,False,True,False,irregular
Foley,Foley,False,False,False,True,False,rare
],],True,False,False,False,False,irregular
(,(,True,False,False,False,False,irregular
",",",",True,False,False,False,False,irregular
by,by,True,False,False,False,False,irregular
the,the,False,False,True,False,False,ambiguous
",",",",True,False,False,False,False,irregular
is,be,True,True,False,False,False,irregular
a,a,True,False,True,False,False,irregular
nostalgic,nostalgic,False,False,False,True,False,rare
the,the,False,False,True,False,False,ambiguous
days,day,False,True,False,False,False,changed
was,be,True,True,False,False,False,irregular
a,a,True,False,True,False,False,irregular
?,?,True,False,False,False,False,irregular
),),True,False,False,False,False,irregular
BuzzMachine,BuzzMachine,False,False,False,True,False,rare
argues,argue,False,True,False,True,False,rare
Google,Google,False,False,True,False,False,ambiguous
's,'s,True,False,True,False,False,irregular
ubiquity,ubiquity,False,False,False,True,False,rare
backfire,backfire,False,False,False,True,False,rare
--,--,True,False,False,False,False,irregular
we,we,True,False,False,False,False,irregular
've,have,True,True,False,False,False,irregular
heard,hear,False,True,False,False,False,changed
",",",",True,False,False,False,False,irregular
it,it,True,False,False,False,False,irregular
's,be,True,True,True,False,False,irregular
-,-,True,False,False,False,False,irregular
in,in,True,False,False,False,False,irregular
.,.,True,False,False,False,False,irregular
Google,Google,False,False,True,False,False,ambiguous
is,be,True,True,False,False,False,irregular
a,a,True,False,True,False,False,irregular
.,.,True,False,False,False,False,irregular
Does,do,True,True,False,False,False,irregular
it,it,True,False,False,False,False,irregular
?,?,True,False,False,False,False,irregular
blogger,blogger,False,False,False,True,False,rare
",",",",True,False,False,False,False,irregular
of,of,True,False,False,False,False,irregular
.,.,True,False,False,False,False,irregular
