id,sentence
1,The man kicked a ball.
2,Each other's houses seem to the women to be garish.
3,"Medea was happy, because she had got the highest marks"
4,"While Rusty might leave in order to please Mag, he won't his father."
5,"Kathy likes astronomy, but she doesn't meteorology?"
6,Anson believed to be happy.
7,All the armies of Europe marched over these fields.
8,Where are you living?
9,He kicked the ball.
10,Steve pelted acorns to Anna.
11,The car had a yellow collar on the dog which it injured.
12,I made it my objective to settle the matter.
13,He could might go
14,It's high time Fiona gets a job.
15,Suddenly an ugly old man entered the hall.
16,Rosemary tried to get a new car.
17,They dismissed the proposal as too costly.
18,"I don't plan to lock the door, no matter how fancy this hotel."
19,They intensified.
20,Mary prefers that Bill will come.
21,Accountants audit our finances every year.
22,What Henri wants is the book which is on the top shelf.
23,Kim jogs on the hill.
24,Who is it that Mary likes?
25,They made him angry.
26,He has not finished.
27,Lucy seems to have been mugged.
28,The student was hoping for a good clue.
29,I heard that Mary hired someone.
30,No one wanted any cake.
31,The birds are singing because the weather is lovely today.
32,John is afraid of dogs.
33,"Fluffy is sick, which I believe that few people realize."
34,Catherine did her homework.
35,She speaks too much clearly.
36,I put the books on the table.
37,The cake was have eaten.
38,"Pat has become crazy, and Chris in good spirits."
39,I gushed the fountain.
40,I found delicious some fruit which I picked up on my way home.
41,The truck rumbled into the driveway.
42,"They, they can't stand each other."
43,Dry the baby with the cloth torn.
44,The river runs from the lake to the sea.
45,Who did you say that John thought would leave early?
46,Martina is deathly afraid of spiders.
47,"We'll do it together, you and me."
48,Pictures of whom appeared in the newspaper?
49,There seemed to be a fountain in the park.
50,This John Smith lives in Seoul.
51,To which man did you talk to?
52,"Fluffy is sick, which that no one here realizes is certain."
53,I didn't eat the ice cream and any cake.
54,Perhaps some dry socks would help?
55,The eggs mixed with the cream.
56,Brown equipped a camera at Jones.
57,John wills leave the party early.
58,The ball lies in the box.
59,"When you eat more, you want correspondingly less."
60,There is enough bread for all of you.
61,The committee was unanimous in their decision.
62,I gave a gun to my brother which I had cleaned.
63,"I am confident of, and my boss depends on, a successful outing at the track."
64,I asked who John would introduce to who.
65,Nixon's behavior gave an idea for a book to every journalist living in New York City in the 1970s.
66,I've never seen a man who is taller than my mother.
67,The train reached the station.
68,"Smith loaned, and his widow later donated, a valuable collection of manuscripts to the library."
69,Tom locked Fido in the garage.
70,Paula spanked the naughty child's back.
71,There were killed three men by the assassin.
72,We called up every man whose father and whose mother had played on the team.
73,Any cat doesn't like mice.
74,Louis begged Kate to leave.
75,Fred had a snake behind the car Joe was sitting in.
76,I prefer.
77,The rabbit vanished into thin air.
78,Plays and ballets alternate together.
79,I wanted if he should leave.
80,It was John and Bill that were waiting at the restaurant.
81,I know I bought the book that you recommended.
82,I was hunting game in the woods.
83,John goes to school.
84,John did not rain.
85,John coughed the money.
86,The spaceship revolves the earth.
87,John was carefully studying Russian.
88,Too many vehicles are damaged by salt.
89,John's bike got fixed or got stolen.
90,Over 120 different contaminants have been dumped into the river.
91,"$100,000 will build a house."
92,I believe that the world is round strongly.
93,Gilgamesh hasn't kissed Ishtar.
94,The children are seen in the yard.
95,Gilgamesh didn't fly the broomstick.
96,The boys were made a good mother.
97,Mary talked to any man or any woman.
98,This window just opens itself.
99,Mr Knightley rode to Kingston.
100,Shakespeare wrote his plays a long time ago.
